canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000101,Ajmer,Ajmer,1951,1961.0,False,ANCHOR,1,1951,1951,5030.790004277834,5030.790004277834,0.0,5030.790004277834,,,,,,,,
IND-000510,Andamans,Andaman & Nicobar Island,1981,2011.0,False,NEW,3,1981,2001,5791.1489200605465,5791.14889260041,2.746013615251286e-05,,,,5791.14889260041,5791.1489200605465,5791.1489200605465,,,
IND-000511,Nicobars,Andaman & Nicobar Island,1981,2021.0,False,NEW,4,1981,2011,1716.0652343178233,1665.9651326359094,50.100101681913884,,,,1665.9920743711793,1665.9651326359094,1665.9651326359094,1716.0652343178233,,
IND-000140,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1951,1981.0,False,ANCHOR,3,1951,1971,7457.121333512047,7399.462404410669,57.65892910137882,7457.121333512047,7457.121333512047,7399.462404410669,,,,,,
IND-001095,North & Middle Andaman,Andaman And Nicobar Islands,2011,2021.0,False,NEW,1,2011,2011,2858.089285274063,2858.089285274063,0.0,,,,,,,2858.089285274063,,
IND-001096,South Andaman,Andaman And Nicobar Islands,2011,,True,NEW,3,2011,2025,2529.266304173899,2249.3751220647755,279.8911821091233,,,,,,,2249.3751220647755,2339.555138955156,2529.266304173899
IND-000419,,Andaman And Nicobar Islands,1971,1981.0,False,NEW,1,1971,1971,57.65892910137913,57.65892910137913,0.0,,,57.65892910137913,,,,,,
IND-000420,,Andaman And Nicobar Islands,1971,1981.0,False,NEW,1,1971,1971,0.7304371342755035,0.7304371342755035,0.0,,,0.7304371342755035,,,,,,
IND-001279,Nicobars,Andaman and Nicobar Islands,2021,,True,NEW,2,2021,2025,1777.7535327551973,1679.2360972422248,98.5174355129725,,,,,,,,1679.2360972422248,1777.7535327551973
IND-001278,North & Middle Andaman,Andaman and Nicobar Islands,2021,,True,NEW,2,2021,2025,3447.1763558523653,3291.7324625142064,155.4438933381589,,,,,,,,3291.7324625142064,3447.1763558523653
IND-000330,Adilabad,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,16709.376528802106,16107.29096398424,602.0855648178658,,16709.37644695335,16709.37644695335,16709.376528802106,16709.373238973203,16151.955704617361,16107.29096398424,,
IND-000322,Ananthapur,Andhra Pradesh,1961,,True,NEW,8,1961,2025,19405.63461054117,19102.696504506224,302.9381060349442,,19140.921126804507,19140.921126804507,19140.920768016644,19140.89207252803,19140.89207252803,19102.696504506224,19128.916835248507,19405.63461054117
IND-000320,East Godavari,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,10855.233481540974,10777.989059013402,77.24442252757217,,10855.233481540974,10839.112207929418,10839.1151984103,10839.109060775841,10839.109060775841,10777.989059013402,,
IND-001261,East Godavari,Andhra Pradesh,2021,,True,NEW,2,2021,2025,12982.354858891224,12918.581960374102,63.772898517121575,,,,,,,,12982.354858891224,12918.581960374102
IND-000404,Guntur,Andhra Pradesh,1971,,True,NEW,7,1971,2025,11417.248400598291,11333.535863048772,83.71253754951977,,,11417.24746684298,11417.247410916441,11417.248400598291,11417.248400598291,11333.535863048772,11402.459009930233,11403.93547371574
IND-000328,Hyderabad,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,7761.908860119769,7548.432991832963,213.47586828680596,,7761.908860119769,7761.908860119769,7676.797330868762,7676.815358225433,7561.137961786396,7548.432991832963,,
IND-000459,Hyderabad,Andhra Pradesh,1981,2001.0,False,NEW,2,1981,1991,85.11768897014088,85.11486028982046,0.0028286803204196076,,,,85.11486028982046,85.11768897014088,,,,
IND-000906,Hyderabad,Andhra Pradesh,2001,2011.0,False,NEW,1,2001,2001,200.8006642874552,200.8006642874552,0.0,,,,,,200.8006642874552,,,
IND-001078,Hyderabad,Andhra Pradesh,2011,2021.0,False,NEW,1,2011,2011,181.40746727944307,181.40746727944307,0.0,,,,,,,181.40746727944307,,
IND-000332,Khammam,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,16002.879247948787,15851.224324928393,151.65492302039456,,16002.878702629729,16002.878702629729,16002.879247948787,16002.790567566923,16002.790567566923,15851.224324928393,,
IND-000323,Kurnool,Andhra Pradesh,1961,1971.0,False,NEW,1,1961,1961,24392.539237871286,24392.539237871286,0.0,,24392.539237871286,,,,,,,
IND-000412,Kurnool,Andhra Pradesh,1971,,True,NEW,7,1971,2025,17667.110804061067,17387.796736726665,279.31406733440235,,,17667.11055084731,17667.110804061067,17667.07247598929,17667.07247598929,17532.97949249114,17664.474624094702,17387.796736726665
IND-000327,Mahabubnagar,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,18418.665424306946,18391.690067431373,26.975356875573198,,18391.81834659842,18391.81834659842,18391.81834659842,18391.690067431373,18391.690067431373,18418.665424306946,,
IND-000329,Medak,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,9691.140116498906,9446.872497723325,244.26761877558056,,9691.097552995843,9691.097552995843,9691.097835733455,9691.140116498906,9691.140116498906,9446.872497723325,,
IND-000333,Nalgonda,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,14251.767817261913,14196.315217935124,55.45259932678891,,14196.315217935124,14196.315217935124,14196.315217935124,14196.323929637048,14196.323929637048,14251.767817261913,,
IND-000406,Nellore,Andhra Pradesh,1971,,True,NEW,7,1971,2025,13219.961675648075,13190.770705678888,29.19096996918779,,,13214.150704155258,13214.150658469976,13214.146752378483,13214.146752378483,13190.770705678888,13219.961675648075,13214.466389151048
IND-000405,Ongole (Prakasam),Andhra Pradesh,1971,,True,NEW,7,1971,2025,17651.06908238489,17615.74104324623,35.328039138657914,,,17632.57946097786,17632.579478257474,17632.636851098432,17632.636851098432,17651.06908238489,17626.79596710705,17615.74104324623
IND-000450,Srikakulam,Andhra Pradesh,1981,,True,NEW,6,1981,2025,5866.033252863172,5634.156561276423,231.87669158674817,,,,5654.295860117195,5802.804333492473,5802.804333492473,5634.156561276423,5866.033252863172,5838.900012369967
IND-000454,Visakhapatnam,Andhra Pradesh,1981,,True,NEW,6,1981,2025,11603.975683542554,11437.005634525995,166.97004901655964,,,,11541.071623992946,11541.12065414818,11541.12065414818,11437.005634525995,11603.975683542554,11579.20147124063
IND-000453,Vizianagaram,Andhra Pradesh,1981,,True,NEW,6,1981,2025,6180.587233460012,6084.697747802682,95.88948565732971,,,,6157.370011308436,6157.384850140305,6157.384850140305,6084.697747802682,6180.587233460012,6147.328893981438
IND-000331,Warangal,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,12921.09569028538,12801.523008191938,119.57268209344147,,12921.091873278421,12921.091873278421,12921.092127584083,12921.09569028538,12921.09569028538,12801.523008191938,,
IND-000321,West Godavari,Andhra Pradesh,1961,,True,NEW,8,1961,2025,8384.154991461506,7722.865166617661,661.289824843845,,7722.88186125806,7722.88186125806,7722.88186125806,7722.865166617661,7722.865166617661,7827.150039716366,8384.154991461506,8321.766078937428
IND-001040,Anjaw,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,6511.093190516527,6015.130575061303,495.9626154552243,,,,,,,6130.836274812929,6511.093190516527,6015.130575061303
