canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000101,Ajmer,Ajmer,1951,1961.0,False,ANCHOR,1,1951,1951,5030.79,5030.79,0.0,5030.79,,,,,,,,
IND-000510,Andamans,Andaman & Nicobar Island,1981,2011.0,False,NEW,3,1981,2001,5791.149,5791.149,0.0,,,,5791.149,5791.149,5791.149,,,
IND-000511,Nicobars,Andaman & Nicobar Island,1981,2021.0,False,NEW,4,1981,2011,1716.065,1665.965,50.1,,,,1665.992,1665.965,1665.965,1716.065,,
IND-000140,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1951,1981.0,False,ANCHOR,3,1951,1971,7457.121,7399.462,57.659,7457.121,7457.121,7399.462,,,,,,
IND-001095,North & Middle Andaman,Andaman And Nicobar Islands,2011,2021.0,False,NEW,1,2011,2011,2858.089,2858.089,0.0,,,,,,,2858.089,,
IND-001096,South Andaman,Andaman And Nicobar Islands,2011,,True,NEW,3,2011,2025,2529.266,2249.375,279.891,,,,,,,2249.375,2339.555,2529.266
IND-000419,,Andaman And Nicobar Islands,1971,1981.0,False,NEW,1,1971,1971,57.659,57.659,0.0,,,57.659,,,,,,
IND-000420,,Andaman And Nicobar Islands,1971,1981.0,False,NEW,1,1971,1971,0.73,0.73,0.0,,,0.73,,,,,,
IND-001279,Nicobars,Andaman and Nicobar Islands,2021,,True,NEW,2,2021,2025,1777.754,1679.236,98.517,,,,,,,,1679.236,1777.754
IND-001278,North & Middle Andaman,Andaman and Nicobar Islands,2021,,True,NEW,2,2021,2025,3447.176,3291.732,155.444,,,,,,,,3291.732,3447.176
IND-000330,Adilabad,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,16709.377,16107.291,602.086,,16709.376,16709.376,16709.377,16709.373,16151.956,16107.291,,
IND-000322,Ananthapur,Andhra Pradesh,1961,,True,NEW,8,1961,2025,19405.635,19102.697,302.938,,19140.921,19140.921,19140.921,19140.892,19140.892,19102.697,19128.917,19405.635
IND-000320,East Godavari,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,10855.233,10777.989,77.244,,10855.233,10839.112,10839.115,10839.109,10839.109,10777.989,,
IND-001261,East Godavari,Andhra Pradesh,2021,,True,NEW,2,2021,2025,12982.355,12918.582,63.773,,,,,,,,12982.355,12918.582
IND-000404,Guntur,Andhra Pradesh,1971,,True,NEW,7,1971,2025,11417.248,11333.536,83.713,,,11417.247,11417.247,11417.248,11417.248,11333.536,11402.459,11403.935
IND-000328,Hyderabad,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,7761.909,7548.433,213.476,,7761.909,7761.909,7676.797,7676.815,7561.138,7548.433,,
IND-000459,Hyderabad,Andhra Pradesh,1981,2001.0,False,NEW,2,1981,1991,85.118,85.115,0.003,,,,85.115,85.118,,,,
IND-000906,Hyderabad,Andhra Pradesh,2001,2011.0,False,NEW,1,2001,2001,200.801,200.801,0.0,,,,,,200.801,,,
IND-001078,Hyderabad,Andhra Pradesh,2011,2021.0,False,NEW,1,2011,2011,181.407,181.407,0.0,,,,,,,181.407,,
IND-000332,Khammam,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,16002.879,15851.224,151.655,,16002.879,16002.879,16002.879,16002.791,16002.791,15851.224,,
IND-000323,Kurnool,Andhra Pradesh,1961,1971.0,False,NEW,1,1961,1961,24392.539,24392.539,0.0,,24392.539,,,,,,,
IND-000412,Kurnool,Andhra Pradesh,1971,,True,NEW,7,1971,2025,17667.111,17387.797,279.314,,,17667.111,17667.111,17667.072,17667.072,17532.979,17664.475,17387.797
IND-000327,Mahabubnagar,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,18418.665,18391.69,26.975,,18391.818,18391.818,18391.818,18391.69,18391.69,18418.665,,
IND-000329,Medak,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,9691.14,9446.872,244.268,,9691.098,9691.098,9691.098,9691.14,9691.14,9446.872,,
IND-000333,Nalgonda,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,14251.768,14196.315,55.453,,14196.315,14196.315,14196.315,14196.324,14196.324,14251.768,,
IND-000406,Nellore,Andhra Pradesh,1971,,True,NEW,7,1971,2025,13219.962,13190.771,29.191,,,13214.151,13214.151,13214.147,13214.147,13190.771,13219.962,13214.466
IND-000405,Ongole (Prakasam),Andhra Pradesh,1971,,True,NEW,7,1971,2025,17651.069,17615.741,35.328,,,17632.579,17632.579,17632.637,17632.637,17651.069,17626.796,17615.741
IND-000450,Srikakulam,Andhra Pradesh,1981,,True,NEW,6,1981,2025,5866.033,5634.157,231.877,,,,5654.296,5802.804,5802.804,5634.157,5866.033,5838.9
IND-000454,Visakhapatnam,Andhra Pradesh,1981,,True,NEW,6,1981,2025,11603.976,11437.006,166.97,,,,11541.072,11541.121,11541.121,11437.006,11603.976,11579.201
IND-000453,Vizianagaram,Andhra Pradesh,1981,,True,NEW,6,1981,2025,6180.587,6084.698,95.889,,,,6157.37,6157.385,6157.385,6084.698,6180.587,6147.329
IND-000331,Warangal,Andhra Pradesh,1961,2021.0,False,NEW,6,1961,2011,12921.096,12801.523,119.573,,12921.092,12921.092,12921.092,12921.096,12921.096,12801.523,,
IND-000321,West Godavari,Andhra Pradesh,1961,,True,NEW,8,1961,2025,8384.155,7722.865,661.29,,7722.882,7722.882,7722.882,7722.865,7722.865,7827.15,8384.155,8321.766
IND-001040,Anjaw,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,6511.093,6015.131,495.963,,,,,,,6130.836,6511.093,6015.131
IND-000493,Dibang Valley,Arunachal Pradesh,1981,2011.0,False,NEW,3,1981,2001,13498.611,13498.575,0.036,,,,13498.611,13498.575,13498.575,,,
IND-001037,Dibang Valley,Arunachal Pradesh,2011,,True,NEW,3,2011,2025,9612.272,9324.53,287.742,,,,,,,9324.53,9612.272,9576.99
IND-000489,East Kameng,Arunachal Pradesh,1981,2021.0,False,NEW,4,1981,2011,6499.792,6271.931,227.862,,,,6271.941,6271.931,6271.931,6499.792,,
IND-001141,East Kameng,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,4410.349,4356.025,54.324,,,,,,,,4356.025,4410.349
IND-000492,East Siang,Arunachal Pradesh,1981,2001.0,False,NEW,2,1981,1991,10378.621,10378.619,0.002,,,,10378.619,10378.621,,,,
IND-000778,East Siang,Arunachal Pradesh,2001,2011.0,False,NEW,1,2001,2001,3523.829,3523.829,0.0,,,,,,3523.829,,,
IND-001034,East Siang,Arunachal Pradesh,2011,2021.0,False,NEW,1,2011,2011,3789.294,3789.294,0.0,,,,,,,3789.294,,
IND-001137,East Siang,Arunachal Pradesh,2021,,True,NEW,2,2021,2025,1680.01,1637.455,42.555,,,,,,,,1637.455,1680.01
